"node_id","label","node_type","layer","source_table","source_id","description","instrument","article","sector","implementation_domain","actor_type","government_level","normative_hierarchy","anchoring_level","gap_type","confidence_level","review_status","notes"
"MEX_ACTOR_INAI_001","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) / Transparencia para el Pueblo","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_INAI_001","transparency enforcement (access to information); data protection oversight; resolution of access to information request…","","","transparency/data protection","","transparency/data protection authority","autonomous","","","","","","data (oversight of health surveillance data access and protection); transparency enforcement of health authorities as ob…"
"MEX_ACTOR_SNSP_001","Dirección General del Servicio Nacional de Salud Pública (SNSP)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_SNSP_001","formulates and proposes policies for SNSP operation; plans and organizes public health service functions (art. 43 fracs.…","","","health","","administrative unit","federal","","","","","","public health emergency territorial deployment; coordination of sectoral health functions; federal-state public health c…"
"MEX_ACTOR_DGRI_001","Dirección General de Relaciones Internacionales (DGRI)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_DGRI_001","coordinates SS representation and accreditation in international activities (art. 33 frac. I); coordinates international…","","","health","","administrative unit","federal","","","","","","international coordination; coordinates SS position at WHO governing bodies; manages international health commitments in…"
"MEX-001","Ley aprobación tratados materia económica","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-001","governs parliamentary procedure; incorporates or governs international commitments","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","","international law / treaties; parliamentary oversight","","","","federal_or_national_law","","","","","Moderate — governs Senate approval procedure for international treaties; relevant for IHR and pandemic agreement treaty …"
"MEX-002","Ley General de Salud","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-002","distributes competences; creates institutional mandates; regulates health governance; regulates emergency powers","Ley General de Salud","","health; public administration","","","","general_law","","","","","High — primary health governance framework; regulates National Health System, Consejo de Salubridad General, health emer…"
"MEX-003","Ley celebración de tratados","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-003","incorporates or governs international commitments; distributes competences","Ley sobre la Celebración de Tratados","","international law / treaties","","","","federal_or_national_law","","","","","High — governs conclusion, signature, ratification and implementation of treaties; directly relevant for IHR domestic re…"
"MEX-004","CPEUM latest reform 2026-04-23","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-004","establishes constitutional principles; distributes competences; creates oversight mechanisms; incorporates or governs in…","Constitución Política de los Estados Unidos Mexicanos","","constitutional; human rights; public administration; health","","","","constitution","","","","","High — foundational: Art. 1 (human rights and pro persona principle), Art. 4 (right to health), Art. 73 frac. XVI (feder…"
"MEX-005","LFPA","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-005","regulates administrative procedure; creates oversight mechanisms","Ley Federal de Procedimiento Administrativo","","public administration; administrative procedure","","","","federal_or_national_law","","","","","Moderate — procedural framework for administrative acts; relevant for health regulation enforcement, publication of gene…"
"MEX-006","LFPRH","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-006","governs planning or budgeting; creates oversight mechanisms","Ley Federal de Presupuesto y Responsabilidad Hacendaria","","budget / public finance","","","","federal_or_national_law","","","","","Moderate — governs federal budget programming and fiscal responsibility; relevant for evaluating financial sustainabilit…"
"MEX-007","LGPDPPSO","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-007","governs data/information; creates institutional mandates","Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados","","data protection; public administration","","","","general_law","","","","","Moderate — governs personal data treatment in public health surveillance and health information systems"
"MEX-008","LGTAIP","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-008","governs data/information; creates oversight mechanisms; creates institutional mandates","Ley General de Transparencia y Acceso a la Información Pública","","transparency; public administration","","","","general_law","","","","","Moderate — transparency obligations applicable to health sector; relevant for public access to health emergency data and…"
"MEX-009","LOAPF","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-009","distributes competences; creates institutional mandates","Ley Orgánica de la Administración Pública Federal","","public administration","","","","federal_or_national_law","","","","","High — defines Secretaría de Salud institutional mandate, competences of intersecretarial bodies; key for identifying IH…"
"MEX-010","Ley de Planeación","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-010","governs planning or budgeting; creates institutional mandates","Ley de Planeación","","planning; public administration","","","","federal_or_national_law","","","","","Moderate — National Development Plan framework; relevant for health sector planning and intersectoral coordination for I…"
"MEX-011","LICal","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-011","creates technical standards; creates institutional mandates; regulates administrative procedure","Ley de Infraestructura de la Calidad","","quality infrastructure / standards; regulatory governance","","","","federal_or_national_law","","","","","Moderate — governs NOM issuance process; NOM-017 (epidemiological surveillance) derives authority from this framework"
"MEX-012","NOM-017 vigilancia epidemiológica","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-012","creates technical standards; regulates health governance","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","","health; quality infrastructure / standards","","","","nom_or_technical_standard","","","","","High — mandatory standard for epidemiological surveillance; directly implements IHR surveillance obligations at the dome…"
"MEX-013","Reforma Comisión Compendio Nacional de Insumos 2023","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-013","creates institutional mandates; regulates administrative procedure; regulates health governance","Acuerdo por el que se reforman, adicionan y derogan diversas disposiciones del Reglamento Interior de la Comisión del Compendio Nacional de Insumos para la Salud","","health; regulatory governance","","","","administrative_agreement","","","","","Moderate — partial reform text only; excluded from active corpus"
"MEX-014","Reforma Reglamento Interior Secretaría de Salud 2018","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-014","creates institutional mandates; regulates administrative procedure","Decreto por el que se reforman y derogan diversas disposiciones del Reglamento Interior de la Secretaría de Salud","","health; public administration","","","","internal_regulation","","","","","Low — partial reform text only; excluded from active corpus; full RI 2025 (MEX-017) is active source"
"MEX-015","Reglamento LGS investigación para la salud","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-015","creates technical standards; creates institutional mandates; regulates health governance","Reglamento de la Ley General de Salud en Materia de Investigación para la Salud","","health; science and technology","","","","regulation","","","","","Moderate — governs health research governance; relevant for research ethics, biobank standards and laboratory frameworks"
"MEX-016","Reglamento LGS sanidad internacional","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-016","regulates health governance; regulates emergency powers; incorporates or governs international commitments","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","","health; international law / treaties","","","","regulation","","","","","High — directly implements international sanitary control at ports, airports and border crossings; most direct domestic …"
"MEX-017","Reglamento Interior SS 2025","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-017","creates institutional mandates; distributes competences; regulates health governance; regulates emergency powers","Reglamento Interior de la Secretaría de Salud","","health; public administration; health governance","","","","internal_regulation","","","","","High — Art. 35 frac. XIX designates DGE as IHR national focal point liaison (enlace para el RSI); defines surveillance, …"
"MEX-018","Ley Aduanera","legal_instrument","domestic_legal_layer","mexico_normative_corpus_index","MEX-018","regulates administrative procedure; creates oversight mechanisms; creates institutional mandates","Ley Aduanera","","customs / borders","","","","federal_or_national_law","","","","","Moderate — governs entry and exit of goods at customs; relevant for IHR points of entry, cargo, conveyances, health prod…"
"MEX_PROV_CPEUM_ART001_001","Constitución Política de los Estados Uni Art. 1o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART001_001","En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en…","Constitución Política de los Estados Unidos Mexicanos","Art. 1o.","constitutional rights; human rights safeguards; legal hierarchy; treaties","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART004_001","Constitución Política de los Estados Uni Art. 4o., párrafo 4 (derecho a la protección de la salud)","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART004_001","Toda Persona tiene derecho a la protección de la salud. La Ley definirá las bases y modalidades para el acceso a los ser…","Constitución Política de los Estados Unidos Mexicanos","Art. 4o., párrafo 4 (derecho a la protección de la salud)","right to health; constitutional rights; federalism; coordination","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART011_001","Constitución Política de los Estados Uni Art. 11, párrafo 1","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART011_001","Toda persona tiene derecho para entrar en la República, salir de ella, viajar por su territorio y mudar de residencia, s…","Constitución Política de los Estados Unidos Mexicanos","Art. 11, párrafo 1","constitutional rights; travellers; points of entry; health security measures; rights safeguards","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART014_001","Constitución Política de los Estados Uni Art. 14, párrafos 1-2","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART014_001","A ninguna ley se dará efecto retroactivo en perjuicio de persona alguna. Nadie podrá ser privado de la libertad o de sus…","Constitución Política de los Estados Unidos Mexicanos","Art. 14, párrafos 1-2","constitutional rights; judicial control; human rights safeguards; administrative procedure","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART016_001","Constitución Política de los Estados Uni Art. 16, párrafos 1-2","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART016_001","Nadie puede ser molestado en su persona, familia, domicilio, papeles o posesiones, sino en virtud de mandamiento escrito…","Constitución Política de los Estados Unidos Mexicanos","Art. 16, párrafos 1-2","constitutional rights; data protection; human rights safeguards; administrative procedure; health security measures","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Uni Art. 29","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","En los casos de invasión, perturbación grave de la paz pública, o de cualquier otro que ponga a la sociedad en grave pel…","Constitución Política de los Estados Unidos Mexicanos","Art. 29","public health emergency; constitutional rights; parliamentary oversight; judicial control; human rights safeguards","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Uni Art. 73, fracción XVI y bases 1a–4a","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","El Congreso tiene facultad: [...] XVI. Para dictar leyes sobre nacionalidad, condición jurídica de los extranjeros, ciud…","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","congressional powers; sanitary authority; health authority; public health emergency; epidemiological surveillance; federalism","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART076_001","Constitución Política de los Estados Uni Art. 76, fracción I","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART076_001","Son facultades exclusivas del Senado: I. Analizar la política exterior desarrollada por la persona titular del Ejecutivo…","Constitución Política de los Estados Unidos Mexicanos","Art. 76, fracción I","treaties; congressional powers; parliamentary oversight","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART089_001","Constitución Política de los Estados Uni Art. 89, fracciones I y X","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART089_001","Las facultades y obligaciones del Presidente, son las siguientes: I. Promulgar y ejecutar las leyes que expida el Congre…","Constitución Política de los Estados Unidos Mexicanos","Art. 89, fracciones I y X","executive powers; treaties; cooperation international; constitutional rights","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART090_001","Constitución Política de los Estados Uni Art. 90","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART090_001","La Administración Pública Federal será centralizada y paraestatal conforme a la Ley Orgánica que expida el Congreso, que…","Constitución Política de los Estados Unidos Mexicanos","Art. 90","public administration; health authority; sanitary authority","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART124_001","Constitución Política de los Estados Uni Art. 124","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART124_001","Las facultades que no están expresamente concedidas por esta Constitución a los funcionarios federales, se entienden res…","Constitución Política de los Estados Unidos Mexicanos","Art. 124","federalism; legal hierarchy; congressional powers","","","","1_constitution","","","","",""
"MEX_PROV_CPEUM_ART133_001","Constitución Política de los Estados Uni Art. 133","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_CPEUM_ART133_001","Esta Constitución, las leyes del Congreso de la Unión que emanen de ella y todos los tratados que estén de acuerdo con l…","Constitución Política de los Estados Unidos Mexicanos","Art. 133","legal hierarchy; treaties; federalism","","","","1_constitution","","","","",""
"MEX_PROV_LSCT_ART001_001","Ley sobre la Celebración de Tratados Art. 1o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LSCT_ART001_001","La presente Ley tiene por objeto regular la celebración de tratados y acuerdos interinstitucionales en el ámbito interna…","Ley sobre la Celebración de Tratados","Art. 1o.","treaties; cooperation international","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LSCT_ART002_001","Ley sobre la Celebración de Tratados Art. 2o., fracciones I y II","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LSCT_ART002_001","Para los efectos de la presente Ley se entenderá por: I.- 'Tratado': el convenio regido por el derecho internacional púb…","Ley sobre la Celebración de Tratados","Art. 2o., fracciones I y II","treaties; legal hierarchy; cooperation international","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LSCT_ART004_001","Ley sobre la Celebración de Tratados Art. 4o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LSCT_ART004_001","Los tratados que se sometan al Senado para los efectos de la fracción I del artículo 76 de la Constitución, se turnarán …","Ley sobre la Celebración de Tratados","Art. 4o.","treaties; parliamentary oversight; legal hierarchy","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LSCT_ART006_001","Ley sobre la Celebración de Tratados Art. 6o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LSCT_ART006_001","La Secretaría de Relaciones Exteriores, sin afectar el ejercicio de las atribuciones de las dependencias y entidades de …","Ley sobre la Celebración de Tratados","Art. 6o.","treaties; cooperation international","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LSCT_ART007_001","Ley sobre la Celebración de Tratados Art. 7o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LSCT_ART007_001","Las dependencias y organismos descentralizados de la Administración Pública Federal, Estatal o Municipal y la Fiscalía G…","Ley sobre la Celebración de Tratados","Art. 7o.","treaties; cooperation international","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LGS_ART001_001","Ley General de Salud Art. 1o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART001_001","La presente ley reglamenta el derecho a la protección de la salud que tiene toda persona en los términos del artículo 4o…","Ley General de Salud","Art. 1o.","right to health; federalism; coordination; sanitary authority","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART003_001","Ley General de Salud Art. 3o., fracciones XV, XXVII","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART003_001","En los términos de esta Ley, es materia de salubridad general: [...] XV. La prevención y el control de enfermedades tran…","Ley General de Salud","Art. 3o., fracciones XV, XXVII","epidemiological surveillance; notification/reporting; sanitary authority; points of entry; health products; laboratories","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART004_001","Ley General de Salud Art. 4o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART004_001","Son autoridades sanitarias: I. El Presidente de la República; II. El Consejo de Salubridad General; III. La Secretaría d…","Ley General de Salud","Art. 4o.","sanitary authority; health authority; federalism","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART007_001","Ley General de Salud Art. 7o., fracciones I, V, VIII, IX, XIV","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART007_001","La coordinación del Sistema Nacional de Salud estará a cargo de la Secretaría de Salud, correspondiéndole a ésta: I. Est…","Ley General de Salud","Art. 7o., fracciones I, V, VIII, IX, XIV","health authority; coordination; epidemiological surveillance; technology; planning","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART009BIS_001","Ley General de Salud Art. 9o. Bis","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART009BIS_001","El Sistema Federal Sanitario se constituye por la Comisión Federal para la Protección contra Riesgos Sanitarios y las au…","Ley General de Salud","Art. 9o. Bis","sanitary authority; coordination; laboratories; health security measures","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART013_001","Ley General de Salud Art. 13, Apartados A y B","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART013_001","A. Corresponde al Ejecutivo Federal, por conducto de la Secretaría de Salud: I. Dictar las normas oficiales mexicanas a …","Ley General de Salud","Art. 13, Apartados A y B","federalism; sanitary authority; coordination; health security measures; epidemiological surveillance","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART015_001","Ley General de Salud Art. 15","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART015_001","El Consejo de Salubridad General es un órgano que depende directamente de la persona titular de la Presidencia de la Rep…","Ley General de Salud","Art. 15","sanitary authority; health authority; public health emergency","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART017_001","Ley General de Salud Art. 17, fracciones III, IV, V, VII","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART017_001","Compete al Consejo de Salubridad General: [...] III. Aprobar y publicar en el Diario Oficial de la Federación, la declar…","Ley General de Salud","Art. 17, fracciones III, IV, V, VII","public health emergency; epidemiological surveillance; notification/reporting; sanitary authority","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART017BIS_001","Ley General de Salud Art. 17 Bis, fracción IX","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART017BIS_001","La Secretaría de Salud ejercerá las atribuciones de regulación, control, vigilancia y fomento sanitarios que conforme a …","Ley General de Salud","Art. 17 Bis, fracción IX","sanitary authority; points of entry; health security measures; health products","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART134_001","Ley General de Salud Art. 134, fracciones I-XIV","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART134_001","La Secretaría de Salud y los gobiernos de las entidades federativas, en sus respectivos ámbitos de competencia, realizar…","Ley General de Salud","Art. 134, fracciones I-XIV","epidemiological surveillance; notification/reporting; coordination; treaties","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART136_001","Ley General de Salud Art. 136, fracciones I-IV","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART136_001","Es obligatoria la notificación a la Secretaría de Salud o a la autoridad sanitaria más cercana, de las siguientes enferm…","Ley General de Salud","Art. 136, fracciones I-IV","notification/reporting; epidemiological surveillance; sanitary authority","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART139_001","Ley General de Salud Art. 139, fracciones I-VIII","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART139_001","Las medidas que se requieran para la prevención y el control de las enfermedades que enumera el artículo 134 de esta Ley…","Ley General de Salud","Art. 139, fracciones I-VIII","health security measures; epidemiological surveillance; points of entry; travellers; notification/reporting","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART146_001","Ley General de Salud Art. 146","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART146_001","Los laboratorios que manejen agentes patógenos estarán sujetos a control por parte de la Secretaría de Salud, en los tér…","Ley General de Salud","Art. 146","laboratories; sanitary authority; health security measures","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART181_001","Ley General de Salud Art. 181","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART181_001","En caso de epidemia de carácter grave, peligro de invasión de enfermedades transmisibles, situaciones de emergencia o ca…","Ley General de Salud","Art. 181","public health emergency; sanitary authority; health security measures","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART184_001","Ley General de Salud Art. 184, fracciones I-V","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART184_001","La acción extraordinaria en materia de salubridad general será ejercida por la Secretaría de Salud, la que deberá integr…","Ley General de Salud","Art. 184, fracciones I-V","public health emergency; health security measures; points of entry; travellers; coordination","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART351_001","Ley General de Salud Art. 351","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART351_001","Los servicios de sanidad internacional se regirán por las disposiciones de esta Ley, sus reglamentos y las normas oficia…","Ley General de Salud","Art. 351","sanidad internacional; treaties; legal hierarchy; points of entry","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART352_001","Ley General de Salud Art. 352","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART352_001","La Secretaría de Salud operará los servicios de sanidad internacional, tanto los de carácter migratorio como los relacio…","Ley General de Salud","Art. 352","sanidad internacional; points of entry; travellers; coordination","","","","3_general_law","","","","",""
"MEX_PROV_LGS_ART359_001","Ley General de Salud Art. 359","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LGS_ART359_001","La Secretaría de Salud notificará a la Organización Mundial de la Salud de todas medidas que haya adoptado, de modo temp…","Ley General de Salud","Art. 359","notification/reporting; sanidad internacional; epidemiological surveillance; treaties","","","","3_general_law","","","","",""
"MEX_PROV_LOAPF_ART001_001","Ley Orgánica de la Administración Públic Artículo 1o.","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LOAPF_ART001_001","La presente Ley establece las bases de organización de la Administración Pública Federal, centralizada y paraestatal. La…","Ley Orgánica de la Administración Pública Federal","Artículo 1o.","institutional architecture; administrative legality","","","","4_federal_or_national_law","","","","",""
"MEX_PROV_LOAPF_ART026_001","Ley Orgánica de la Administración Públic Artículo 26","domestic_provision","domestic_legal_layer","mexico_legal_provisions","MEX_PROV_LOAPF_ART026_001","Para el despacho de los asuntos del orden administrativo, el Poder Ejecutivo de la Unión contará con las siguientes Secr…","Ley Orgánica de la Administración Pública Federal","Artículo 26","institutional architecture; competence distribution","","","","4_federal_or_national_law","","","","",""
